모델,차수,성별,연령대,목표_n,유효_n,형식실패율_%
Gemini,2024,남성,10대,478,478,0.0
Gemini,2024,남성,20대,600,600,0.0
Gemini,2024,남성,30대,600,600,0.0
Gemini,2024,남성,40대,600,600,0.0
Gemini,2024,남성,50대,600,600,0.0
Gemini,2024,남성,60대,600,600,0.0
Gemini,2024,남성,70대이상,600,600,0.0
Gemini,2024,여성,10대,490,490,0.0
Gemini,2024,여성,20대,600,600,0.0
Gemini,2024,여성,30대,600,600,0.0
Gemini,2024,여성,40대,600,600,0.0
Gemini,2024,여성,50대,600,600,0.0
Gemini,2024,여성,60대,600,600,0.0
Gemini,2024,여성,70대이상,600,600,0.0
Gemini,2025,남성,10대,382,382,0.0
Gemini,2025,남성,20대,600,600,0.0
Gemini,2025,남성,30대,600,600,0.0
Gemini,2025,남성,40대,600,600,0.0
Gemini,2025,남성,50대,600,600,0.0
Gemini,2025,남성,60대,600,600,0.0
Gemini,2025,남성,70대이상,600,600,0.0
Gemini,2025,여성,10대,356,356,0.0
Gemini,2025,여성,20대,600,600,0.0
Gemini,2025,여성,30대,600,600,0.0
Gemini,2025,여성,40대,600,600,0.0
Gemini,2025,여성,50대,600,600,0.0
Gemini,2025,여성,60대,600,600,0.0
Gemini,2025,여성,70대이상,600,600,0.0
EXAONE,2024,남성,10대,478,478,0.0
EXAONE,2024,남성,20대,600,600,0.0
EXAONE,2024,남성,30대,600,600,0.0
EXAONE,2024,남성,40대,600,600,0.0
EXAONE,2024,남성,50대,600,600,0.0
EXAONE,2024,남성,60대,600,600,0.0
EXAONE,2024,남성,70대이상,600,600,0.0
EXAONE,2024,여성,10대,490,490,0.0
EXAONE,2024,여성,20대,600,600,0.0
EXAONE,2024,여성,30대,600,598,0.33
EXAONE,2024,여성,40대,600,599,0.17
EXAONE,2024,여성,50대,600,600,0.0
EXAONE,2024,여성,60대,600,600,0.0
EXAONE,2024,여성,70대이상,600,600,0.0
EXAONE,2025,남성,10대,382,381,0.26
EXAONE,2025,남성,20대,600,599,0.17
EXAONE,2025,남성,30대,600,597,0.5
EXAONE,2025,남성,40대,600,555,7.5
EXAONE,2025,남성,50대,600,595,0.83
EXAONE,2025,남성,60대,600,592,1.33
EXAONE,2025,남성,70대이상,600,597,0.5
EXAONE,2025,여성,10대,356,349,1.97
EXAONE,2025,여성,20대,600,572,4.67
EXAONE,2025,여성,30대,600,579,3.5
EXAONE,2025,여성,40대,600,584,2.67
EXAONE,2025,여성,50대,600,598,0.33
EXAONE,2025,여성,60대,600,597,0.5
EXAONE,2025,여성,70대이상,600,599,0.17
