p__m01016,p__m01004,p__d29001,p__d31002,p__m01005,p__m01022,p__m01012,p__d31005,p__m01015,p__m01008,p__d31003,p__m01024,p__m01014,p__m01006,p__d31001,p__d26001,p__d26075,p__m01019,p__d11001,p__d28001,p__m01011,p__m01020,p__m01007,p__d22001,p__m01017,p__m01003,p__d26092,p__m01009,p__m01013,p__m01001,p__m01010,p__d31007,p__m01018,p__m01021,p__m01002,p__m01023,_idx,_model,_wave,성별,연령대,_error
3.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,8.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,0,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,1,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,2,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,8.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4,gemini,2024,남성,2,
4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,6,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,7,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,8,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,9,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,10,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,11,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,12,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,13,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,14,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,15,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,16,gemini,2024,남성,2,
4.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,17,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,18,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,19,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,5.0,3.0,4.0,3.0,4.0,5.0,1.0,4.0,3.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,5.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,20,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,21,gemini,2024,남성,2,
2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,22,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,23,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,24,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,25,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,26,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,27,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,28,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,29,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,30,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,31,gemini,2024,남성,2,
4.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,32,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,33,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,34,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,35,gemini,2024,남성,2,
3.0,4.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,36,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,37,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,38,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,39,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,40,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,41,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,42,gemini,2024,남성,2,
