p__d31001,p__d31002,p__d31003,p__d31005,p__d31007,p__m01001,p__m01002,p__m01003,p__m01004,p__m01005,p__m01006,p__m01007,p__m01008,p__m01009,p__m01010,p__m01011,p__m01012,p__m01013,p__m01014,p__m01015,p__m01016,p__m01017,p__m01018,p__m01019,p__m01020,p__m01021,p__m01022,p__m01023,p__m01024,p__d26001,p__d26075,p__d26092,p__d11001,p__d22001,p__d28001,p__d29001,_idx,_model,_wave,성별,연령대
3,1,1.0,2.0,2.0,3,3,4,2,5,4,4,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,0,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,4,4,3,3,3,4,3,3,4,3,4,4,4,4,3,3,4,3,1,1,1,1,1,1,1,1,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,2,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,3,2,4,4,4,3,3,3,3,3,2,3,3,3,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,3,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,4,4,3,5,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,4,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,4,3,2,3,3,2,3,3,3,4,4,4,4,3,4,3,4,1,1,1,1,1,1,1,5,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,3,4,4,4,4,3,4,3,4,1,1,1,1,1,1,1,6,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,5,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,7,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,5,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,8,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,4,3,3,3,3,2,3,3,2,4,4,4,4,3,3,3,4,1,1,1,1,1,1,2,9,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,4,3,3,3,3,2,3,3,3,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,10,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,3,3,3,2,3,3,3,4,4,4,4,3,4,3,4,1,1,1,1,1,1,2,11,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,2,5,4,5,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,12,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,2,5,4,4,4,3,3,3,4,2,3,3,3,4,4,5,4,3,4,4,4,1,1,1,1,1,1,2,13,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,3,4,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,14,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,4,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,15,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,2,4,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,16,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,17,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,4,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,3,4,1,1,1,1,1,1,1,18,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,4,3,5,4,4,4,3,2,3,3,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,19,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,2,5,4,4,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,3,4,1,1,1,1,1,1,2,20,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,21,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,3,4,4,1,1,1,1,1,1,2,22,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,4,3,2,3,3,2,3,3,3,4,4,4,4,3,3,3,4,1,1,1,1,1,1,2,23,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,5,4,5,4,3,2,3,3,2,3,3,2,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,24,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,4,3,3,3,3,2,3,3,3,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,25,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,4,4,3,1,1,1,1,1,1,2,26,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,5,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,27,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,4,3,5,4,5,4,3,3,3,4,2,3,4,3,4,4,5,4,3,4,4,4,1,1,1,1,1,1,2,28,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,4,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,3,4,1,1,1,1,1,1,1,29,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,30,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,4,2,4,4,4,4,3,2,3,3,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,31,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,3,4,4,1,1,1,1,1,1,2,32,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,4,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,33,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,3,3,3,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,34,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,2,3,2,3,3,2,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,35,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,3,2,4,4,4,3,4,4,4,4,2,3,3,3,4,4,4,5,3,3,4,4,1,1,1,1,1,1,1,36,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,4,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,37,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,4,3,2,3,3,2,3,3,2,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,38,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,4,4,4,4,3,2,3,3,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,39,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,5,4,3,3,3,4,2,3,3,3,4,4,5,5,3,4,4,4,1,1,1,1,1,1,1,40,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,41,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,4,3,4,1,1,1,1,1,1,2,42,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,43,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,4,4,4,3,3,3,3,3,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,44,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,3,2,4,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,45,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,3,4,4,4,4,3,3,3,3,2,3,3,3,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,46,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,4,4,3,4,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,47,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,2,5,4,4,4,3,3,3,4,2,3,3,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,48,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,3,3,4,4,4,4,4,3,4,3,2,3,3,3,4,4,4,4,3,3,4,4,1,1,1,1,1,1,1,49,gemini,2024,남성,2
3,1,1.0,2.0,2.0,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2,4,4,4,4,3,3,3,4,1,1,1,1,1,1,2,50,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,3,5,4,4,4,3,3,3,4,2,3,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,2,51,gemini,2024,남성,2
3,1,1.0,2.0,2.0,3,3,4,2,4,4,4,4,3,2,3,3,2,3,3,3,4,4,4,4,3,3,3,4,1,1,1,1,1,1,1,52,gemini,2024,남성,2
