p__d31001,p__d31002,p__d31003,p__d31005,p__d31007,p__d26001,p__d26075,p__d26092,p__d11001,p__d22001,p__d28001,p__d29001,_idx,_model,_wave,성별,연령대
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,0,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,1,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,2,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,3,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,4,gemini,2025,남성,2
2,2,,,,1,1,2,2,1,2,2,5,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,6,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,7,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,8,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,9,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,10,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,11,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,12,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,2,13,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,2,2,14,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,15,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,16,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,17,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,18,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,19,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,20,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,21,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,22,gemini,2025,남성,2
3,1,1.0,2.0,2.0,1,1,1,1,1,2,1,23,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,24,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,2,25,gemini,2025,남성,2
2,1,1.0,5.0,2.0,1,1,1,1,1,2,1,26,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,27,gemini,2025,남성,2
3,1,9.0,3.0,2.0,1,1,1,1,1,2,2,28,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,1,1,1,2,1,29,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,30,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,31,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,32,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,1,33,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,34,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,35,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,1,36,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,37,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,1,38,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,39,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,40,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,2,41,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,42,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,43,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,44,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,45,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,46,gemini,2025,남성,2
3,1,8.0,3.0,1.0,1,1,2,1,1,2,1,47,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,48,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,2,49,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,50,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,2,1,1,2,2,51,gemini,2025,남성,2
