_idx,p__d31001,p__d31002,p__d31003,p__d31005,p__d31007,p__m01001,p__m01002,p__m01003,p__m01004,p__m01005,p__m01006,p__m01007,p__m01008,p__m01009,p__m01010,p__m01011,p__m01012,p__m01013,p__m01014,p__m01015,p__m01016,p__m01017,p__m01018,p__m01019,p__m01020,p__m01021,p__m01022,p__m01023,p__m01024,p__d26001,p__d26075,p__d26092,p__d11001,p__d22001,p__d28001,p__d29001,_model,_wave,성별,연령대,_error
0,2.0,1.0,1.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,2,
1,3.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
2,2.0,1.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
3,2.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,2,
4,2.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
5,2.0,2.0,,,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,exaone,2024,남성,2,
6,2.0,2.0,,,,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
7,2.0,1.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
8,3.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,2,
9,3.0,1.0,1.0,3.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
10,2.0,2.0,,,,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
11,2.0,2.0,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,2,
12,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,2,
13,2.0,2.0,,,,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
14,2.0,1.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,2,
15,2.0,2.0,,,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,2,
16,3.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,exaone,2024,남성,2,
17,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,exaone,2024,남성,2,
