변수,성별,연령대,실측_가중,Gemini,EXAONE,Gemini_오차%p,EXAONE_오차%p
AI_이용여부,남성,10대,0.1532,0.8536,0.6213,70.0,46.8
AI_이용여부,남성,10세미만,0.0,,,,
AI_이용여부,남성,20대,0.423,0.855,0.64,43.2,21.7
AI_이용여부,남성,30대,0.3318,0.73,0.58,39.8,24.8
AI_이용여부,남성,40대,0.2046,0.49,0.4317,28.5,22.7
AI_이용여부,남성,50대,0.0782,0.2583,0.2717,18.0,19.4
AI_이용여부,남성,60대,0.0351,0.1067,0.165,7.2,13.0
AI_이용여부,남성,70대이상,0.0039,0.04,0.135,3.6,13.1
AI_이용여부,여성,10대,0.1637,0.8755,0.602,71.2,43.8
AI_이용여부,여성,10세미만,0.0,,,,
AI_이용여부,여성,20대,0.2875,0.8083,0.6433,52.1,35.6
AI_이용여부,여성,30대,0.2421,0.585,0.5401,34.3,29.8
AI_이용여부,여성,40대,0.0854,0.38,0.429,29.5,34.4
AI_이용여부,여성,50대,0.0511,0.1317,0.2417,8.1,19.1
AI_이용여부,여성,60대,0.0057,0.0183,0.1383,1.3,13.3
AI_이용여부,여성,70대이상,0.0,0.0017,0.065,0.2,6.5
OTT_이용,남성,10대,0.9549,0.9833,0.9059,2.8,-4.9
OTT_이용,남성,10세미만,0.8352,,,,
OTT_이용,남성,20대,0.9864,0.9933,0.93,0.7,-5.6
OTT_이용,남성,30대,0.9833,0.9567,0.9067,-2.7,-7.7
OTT_이용,남성,40대,0.9825,0.8617,0.87,-12.1,-11.3
OTT_이용,남성,50대,0.9607,0.565,0.8317,-39.6,-12.9
OTT_이용,남성,60대,0.8839,0.2617,0.7683,-62.2,-11.6
OTT_이용,남성,70대이상,0.5561,0.075,0.67,-48.1,11.4
OTT_이용,여성,10대,0.9755,0.9918,0.9347,1.6,-4.1
OTT_이용,여성,10세미만,0.9124,,,,
OTT_이용,여성,20대,0.985,0.99,0.9533,0.5,-3.2
OTT_이용,여성,30대,0.9998,0.9683,0.908,-3.2,-9.2
OTT_이용,여성,40대,0.9815,0.8883,0.8798,-9.3,-10.2
OTT_이용,여성,50대,0.9514,0.5483,0.845,-40.3,-10.6
OTT_이용,여성,60대,0.8955,0.2383,0.72,-65.7,-17.6
OTT_이용,여성,70대이상,0.3888,0.0417,0.67,-34.7,28.1
유튜브_이용,남성,10대,0.9339,1.0,0.9456,6.6,1.2
유튜브_이용,남성,10세미만,1.0,,,,
유튜브_이용,남성,20대,0.9559,1.0,0.9583,4.4,0.2
유튜브_이용,남성,30대,0.9758,1.0,0.9417,2.4,-3.4
유튜브_이용,남성,40대,0.9419,0.9983,0.9017,5.6,-4.0
유튜브_이용,남성,50대,0.9539,0.9933,0.855,3.9,-9.9
유튜브_이용,남성,60대,0.9778,0.995,0.7983,1.7,-17.9
유튜브_이용,남성,70대이상,0.9755,0.78,0.69,-19.5,-28.5
유튜브_이용,여성,10대,0.89,1.0,0.9694,11.0,7.9
유튜브_이용,여성,10세미만,0.7727,,,,
유튜브_이용,여성,20대,0.8846,1.0,0.9733,11.5,8.9
유튜브_이용,여성,30대,0.8935,1.0,0.9448,10.6,5.1
유튜브_이용,여성,40대,0.8815,1.0,0.9132,11.9,3.2
유튜브_이용,여성,50대,0.9206,1.0,0.88,7.9,-4.1
유튜브_이용,여성,60대,0.9226,0.995,0.7483,7.2,-17.4
유튜브_이용,여성,70대이상,0.9725,0.7883,0.6817,-18.4,-29.1
숏폼_이용,남성,10대,0.7949,0.8724,0.6548,7.8,-14.0
숏폼_이용,남성,10세미만,0.8027,,,,
숏폼_이용,남성,20대,0.8468,0.6667,0.6567,-18.0,-19.0
숏폼_이용,남성,30대,0.8106,0.3333,0.6,-47.7,-21.1
숏폼_이용,남성,40대,0.751,0.0967,0.5017,-65.4,-24.9
숏폼_이용,남성,50대,0.678,0.0467,0.46,-63.1,-21.8
숏폼_이용,남성,60대,0.5565,0.02,0.415,-53.6,-14.1
